team,elo
Ghana,1670.0722657333902
Mali,1651.2951599506096
Gabon,1552.3533070019978
Burkina Faso,1648.2913270025995
Kuwait,1491.4624993451384
Lebanon,1453.0393878606633
Uganda,1528.2509388594744
Tanzania,1414.6964892059734
DR Congo,1763.4184126244704
Cameroon,1663.9476633399258
Botswana,1398.9235596763017
South Africa,1670.0056342759506
Angola,1533.8772396341872
Zimbabwe,1410.771554960556
Senegal,1854.1551947559549
Algeria,1802.3795199211934
Tunisia,1745.7799762012955
Bulgaria,1508.9165645035375
Nigeria,1776.6724356177247
Zambia,1500.8417986742877
Ethiopia,1388.1092637412125
Morocco,1891.1433196169505
Benin,1538.0312380159696
Ivory Coast,1763.198641170542
Burundi,1363.736175623328
Togo,1454.524189551647
Namibia,1404.0216271682445
Madagascar,1506.773143326396
Eswatini,1296.1317425396169
Mozambique,1497.7067369038996
Egypt,1768.275413053536
North Korea,1476.3425231014317
Bolivia,1697.6623565715233
Guinea-Bissau,1369.5076053885857
Guinea,1524.2487602263213
India,1314.524903029104
Finland,1524.9785992998393
Italy,1828.859016124013
Mexico,1837.369303473272
Niger,1507.7173095321093
Japan,1885.6863613134192
Switzerland,1799.5141411510645
Venezuela,1714.7527921135943
Peru,1665.3023391182219
Malta,1343.9740211367898
Portugal,1879.6074074546702
Russia,1777.647736144365
Honduras,1657.310976881882
Spain,1985.7307357150391
Ecuador,1882.0376204992947
Belarus,1491.659818693154
USA,1827.5787774289845
Denmark,1801.1849932710734
Romania,1588.5773792925984
Congo,1344.6672618212951
Cyprus,1363.5142825085436
Poland,1731.4713609102039
Israel,1580.8455281172166
Malaysia,1533.8191189744698
Singapore,1368.6328385562501
Indonesia,1522.6744321822991
Thailand,1548.7765355660415
Norway,1853.733246047852
China PR,1553.7362268171487
Belgium,1811.195200796678
Costa Rica,1694.843888057219
Nicaragua,1504.9192402729943
England,1911.5636232279583
San Marino,936.1144764658275
Albania,1623.5331108508938
Northern Ireland,1567.0080219241281
El Salvador,1472.3112767874516
France,1960.7811441463177
Greece,1705.2426994258235
Luxembourg,1388.6486992428972
Ireland,1690.7921391190819
Wales,1700.2380207702226
Scotland,1773.933002849242
Argentina,1954.465726375927
Brazil,1877.9286672026706
United Arab Emirates,1656.6030532321188
Estonia,1367.564202275885
Latvia,1327.5400348389335
Lithuania,1306.798930708009
Netherlands,1877.8739906942778
Turkey,1863.0339412246349
Colombia,1873.6966461690809
Kenya,1455.1474299588501
Jordan,1742.8570968791223
Syria,1557.5241999608304
Paraguay,1844.6840785199224
Martinique,1485.6378015676603
French Guiana,1413.6821716431293
Panama,1791.1153820838888
Hungary,1707.2247310121406
Canada,1784.005405546822
South Korea,1816.986867104238
Austria,1781.007210038472
Guyana,1471.5129073639741
Cayman Islands,1200.158515004698
Puerto Rico,1425.881086128501
Barbados,1206.8386339896672
Qatar,1672.463588762103
Alderney,1293.4023975802866
Guernsey,1665.801686718817
Guadeloupe,1526.8101358735778
Czechoslovakia,1568.0504496330093
Germany,1876.4559788595534
Malawi,1409.4036668767314
Slovakia,1648.5516760423832
Chile,1693.5174102177366
Saint Kitts and Nevis,1336.6229447691012
British Virgin Islands,1094.7573152216114
Anguilla,1045.6537731071774
Antigua and Barbuda,1216.166512734098
Dominican Republic,1477.7658884675427
Sint Maarten,1359.9050541111344
Slovenia,1663.8045017876245
Sri Lanka,1139.2301867729
Vietnam,1497.7665653691724
